title,rating
The Martian,5
The Boy and the Samurai,
Do androids dream of electric sheep?,
"Ender's Game (Ender's Saga, #1)",
Speaker for the Dead: Ender's Saga #2 ,
Xenocide ,
The little prince,
The Hunger Games,
Catching Fire,
Mockingjay,
The hobbit,
the eleventh plague,3
harry potter and the sorcerer's stone,5
harry potter and the chamber of secrets,
harry potter and the prisoner of azkaban,
professional idiot,4
ender in exile,
hatchet,
wool omnibus,
freakonomics: a rogue economist explores the hidden side of everything,
spelunky,5
ender's shadow,
dollars and sense: how we misthink money and how to spend smarter,3
born a crime: stories from a south african childhood,5
The promise,
hillbilly elegy,3
the hitchhiker's guide to the galaxy,3
sapiens: a graphic history,4
shoe dog: a memoir by the creator of nike,4
back mechanic by dr. stuart mcgill,5
crooked: outwitting the back pain industry,2
the paleo diet revised,3
outliers: the story of success,3
a hard kick in the nuts,3
moo's law: an investor's guide to the new agrarian revolution,5
algorithm design,5
becoming a supple leopard,4
introduction to algorithms,3
maui revealed,5
hawaii - the big island revealed,5
how not to die,
the ruins of gorlan,
talking to strangers: what we should know about the people,3
the code book: the science of secrecy,5
objective-c programming,
Sapiens: a brief history of humankind,5
predictably irrational,5
atomic habits,5
Why we sleep,
the AI revolution: the road to superintelligence,5
the elon musk blog series,5
bigger leaner stronger,4
brave new world,
the ape that understood the universe,
how to break up with your phone,
everybody lies: big data,
grit: the power of passion,
the 4-hour workweek,4
the bullet journal method,5
the lorax,5
1984,4
"elon musk: tesla, spaceX, and the quest for a fantastic future",4
can't hurt me: master your mind and defy the odds,4
industrial society and its future,4
What's our problem?,